class_index,class,image_name
808,n04259630,ILSVRC2012_val_00027685.JPEG
808,n04259630,ILSVRC2012_val_00010453.JPEG
808,n04259630,ILSVRC2012_val_00022855.JPEG
808,n04259630,ILSVRC2012_val_00014823.JPEG
808,n04259630,ILSVRC2012_val_00020420.JPEG
808,n04259630,ILSVRC2012_val_00013087.JPEG
808,n04259630,ILSVRC2012_val_00019159.JPEG
808,n04259630,ILSVRC2012_val_00022268.JPEG
808,n04259630,ILSVRC2012_val_00032722.JPEG
808,n04259630,ILSVRC2012_val_00002335.JPEG
765,n04099969,ILSVRC2012_val_00026013.JPEG
765,n04099969,ILSVRC2012_val_00001953.JPEG
765,n04099969,ILSVRC2012_val_00017214.JPEG
765,n04099969,ILSVRC2012_val_00024620.JPEG
765,n04099969,ILSVRC2012_val_00025634.JPEG
765,n04099969,ILSVRC2012_val_00017053.JPEG
765,n04099969,ILSVRC2012_val_00024320.JPEG
765,n04099969,ILSVRC2012_val_00018206.JPEG
765,n04099969,ILSVRC2012_val_00014269.JPEG
765,n04099969,ILSVRC2012_val_00000421.JPEG
915,n04613696,ILSVRC2012_val_00007854.JPEG
915,n04613696,ILSVRC2012_val_00000490.JPEG
915,n04613696,ILSVRC2012_val_00009750.JPEG
915,n04613696,ILSVRC2012_val_00008571.JPEG
915,n04613696,ILSVRC2012_val_00001300.JPEG
915,n04613696,ILSVRC2012_val_00002044.JPEG
915,n04613696,ILSVRC2012_val_00000839.JPEG
915,n04613696,ILSVRC2012_val_00007626.JPEG
915,n04613696,ILSVRC2012_val_00003113.JPEG
915,n04613696,ILSVRC2012_val_00000460.JPEG
432,n02804610,ILSVRC2012_val_00002552.JPEG
432,n02804610,ILSVRC2012_val_00005955.JPEG
432,n02804610,ILSVRC2012_val_00003370.JPEG
432,n02804610,ILSVRC2012_val_00014404.JPEG
432,n02804610,ILSVRC2012_val_00001090.JPEG
432,n02804610,ILSVRC2012_val_00012019.JPEG
432,n02804610,ILSVRC2012_val_00005802.JPEG
432,n02804610,ILSVRC2012_val_00001369.JPEG
432,n02804610,ILSVRC2012_val_00012025.JPEG
432,n02804610,ILSVRC2012_val_00011274.JPEG
140,n02027492,ILSVRC2012_val_00007011.JPEG
140,n02027492,ILSVRC2012_val_00003964.JPEG
140,n02027492,ILSVRC2012_val_00005771.JPEG
140,n02027492,ILSVRC2012_val_00002491.JPEG
140,n02027492,ILSVRC2012_val_00002691.JPEG
140,n02027492,ILSVRC2012_val_00001162.JPEG
140,n02027492,ILSVRC2012_val_00005840.JPEG
140,n02027492,ILSVRC2012_val_00002488.JPEG
140,n02027492,ILSVRC2012_val_00000177.JPEG
140,n02027492,ILSVRC2012_val_00007524.JPEG
225,n02105162,ILSVRC2012_val_00018087.JPEG
225,n02105162,ILSVRC2012_val_00011433.JPEG
225,n02105162,ILSVRC2012_val_00013763.JPEG
225,n02105162,ILSVRC2012_val_00011323.JPEG
